Data,Valor,Identificador,Descrição
2026-07-06,1000.00,STG-STRESS-0090,STG-QA PIX RECEBIDO RECORRENTE
2026-07-07,-10.00,STG-STRESS-0091,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0092,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0093,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0094,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0095,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0096,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0097,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0098,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0099,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,1000.00,STG-STRESS-0100,STG-QA PIX RECEBIDO RECORRENTE
2026-07-17,-10.00,STG-STRESS-0101,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0102,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0103,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0104,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0105,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0106,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0107,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0108,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0109,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,1000.00,STG-STRESS-0110,STG-QA PIX RECEBIDO RECORRENTE
2026-07-27,-10.00,STG-STRESS-0111,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0112,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0113,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0114,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0115,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0116,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0117,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0118,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0119,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,1000.00,STG-STRESS-0120,STG-QA PIX RECEBIDO RECORRENTE
2026-07-09,-10.00,STG-STRESS-0121,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0122,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0123,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0124,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0125,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0126,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0127,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0128,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0129,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,1000.00,STG-STRESS-0130,STG-QA PIX RECEBIDO RECORRENTE
2026-07-19,-10.00,STG-STRESS-0131,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0132,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0133,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0134,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0135,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0136,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0137,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0138,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0139,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,1000.00,STG-STRESS-0140,STG-QA PIX RECEBIDO RECORRENTE
2026-07-01,-10.00,STG-STRESS-0141,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0142,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0143,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0144,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0145,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0146,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0147,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0148,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0149,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,1000.00,STG-STRESS-0150,STG-QA PIX RECEBIDO RECORRENTE
2026-07-11,-10.00,STG-STRESS-0151,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0152,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0153,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0154,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0155,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0156,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0157,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0158,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0159,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,1000.00,STG-STRESS-0160,STG-QA PIX RECEBIDO RECORRENTE
2026-07-21,-10.00,STG-STRESS-0161,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0162,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0163,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0164,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0165,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0166,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0167,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0168,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0169,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,1000.00,STG-STRESS-0170,STG-QA PIX RECEBIDO RECORRENTE
2026-07-03,-10.00,STG-STRESS-0171,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0172,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0173,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0174,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0175,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0176,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0177,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0178,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0179,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,1000.00,STG-STRESS-0180,STG-QA PIX RECEBIDO RECORRENTE
2026-07-13,-10.00,STG-STRESS-0181,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0182,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0183,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0184,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0185,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0186,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0187,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0188,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0189,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,1000.00,STG-STRESS-0190,STG-QA PIX RECEBIDO RECORRENTE
2026-07-23,-10.00,STG-STRESS-0191,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0192,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0193,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0194,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0195,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0196,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0197,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0198,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0199,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,1000.00,STG-STRESS-0200,STG-QA PIX RECEBIDO RECORRENTE
2026-07-05,-10.00,STG-STRESS-0201,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0202,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0203,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0204,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0205,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0206,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0207,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0208,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0209,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,1000.00,STG-STRESS-0210,STG-QA PIX RECEBIDO RECORRENTE
2026-07-15,-10.00,STG-STRESS-0211,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0212,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0213,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0214,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0215,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0216,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0217,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0218,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0219,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,1000.00,STG-STRESS-0220,STG-QA PIX RECEBIDO RECORRENTE
2026-07-25,-10.00,STG-STRESS-0221,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0222,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0223,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0224,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0225,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0226,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0227,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0228,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0229,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,1000.00,STG-STRESS-0230,STG-QA PIX RECEBIDO RECORRENTE
2026-07-07,-10.00,STG-STRESS-0231,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0232,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0233,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0234,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0235,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0236,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0237,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0238,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0239,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,1000.00,STG-STRESS-0240,STG-QA PIX RECEBIDO RECORRENTE
2026-07-17,-10.00,STG-STRESS-0241,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0242,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0243,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0244,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0245,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0246,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0247,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0248,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0249,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,1000.00,STG-STRESS-0250,STG-QA PIX RECEBIDO RECORRENTE
2026-07-27,-10.00,STG-STRESS-0251,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0252,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0253,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0254,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0255,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0256,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0257,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0258,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0259,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,1000.00,STG-STRESS-0260,STG-QA PIX RECEBIDO RECORRENTE
2026-07-09,-10.00,STG-STRESS-0261,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0262,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0263,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0264,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0265,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0266,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0267,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0268,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0269,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,1000.00,STG-STRESS-0270,STG-QA PIX RECEBIDO RECORRENTE
2026-07-19,-10.00,STG-STRESS-0271,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0272,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0273,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0274,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0275,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0276,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0277,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0278,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0279,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,1000.00,STG-STRESS-0280,STG-QA PIX RECEBIDO RECORRENTE
2026-07-01,-10.00,STG-STRESS-0281,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0282,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0283,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0284,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0285,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0286,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0287,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0288,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0289,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,1000.00,STG-STRESS-0290,STG-QA PIX RECEBIDO RECORRENTE
2026-07-11,-10.00,STG-STRESS-0291,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0292,STG-QA COMPRA REPETIDA MESMO VALOR
